NOM DU LIEU,SOURCE_codes_temp,ADRESSE,TELEPHONE,URL,PUBLICS,TYPOLOGIE,ESPACES PROPOSÉS,DESCRIPTION,IMAGE,MODELE_JURIDIQUE,FABRIQUE_DE_TERRITOIRE,DEPARTEMENT,ÉTAT DE VOTRE TIERS-LIEUX,BAN_latitude,BAN_longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode,BAN_depcode
La Prairie,FTL,22 Rue des Olivettes 44000 Nantes,Non renseigné,http://www.alaprairie.fr/,Professionnels,T,,Située rue des Olivettes au centre ville de Nantes  la Prairie se compose de quatre open space - l’estive  la vallée  la clairière  le perchoir- mais aussi de grands espaces communs et d’une cuisine pour faciliter les échanges et les collaborations.,http://www.alaprairie.fr/wp-content/uploads/2016/10/Laprairie.png,SARL/SAS/SA,NON,44,En activité,47.210831,-1.549439,22 Rue des Olivettes,22 Rue des Olivettes 44000 Nantes,Nantes,44000,undefined
La Corderie,FTL,2 bis Rue Urvoy de Saint-Bedan 44000 Nantes,06 52 51 98 28,http://www.coworking-nantes-corderie.fr/,Professionnels,T,,Les espaces de Coworking de La Corderie permettent d’avoir un pied à terre dans le coeur de la ville de Nantes proche de toutes commodités (transport et restauration).,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/coworking_nantes_petite_corderie.png,SARL/SAS/SA,NON,44,En activité,47.213182,-1.566044,2bis Rue Urvoy de Saint Bedan,2bis Rue Urvoy de Saint Bedan 44000 Nantes,Nantes,44000,undefined
Le 144,FTL,144 Rue Paul Bellamy 44000 Nantes,02 49 09 24 90,https://www.le144-coworking.fr/,Professionnels,T,,Bureaux privés et partagés  open-space  salles de réunion et salles de formation… Cet espace  au cœur de la rue Paul Bellamy  propose une ambiance conviviale  des coins cosys et aussi de grands événements qui ponctuent régulièrement les journées de travail.,https://www.le144-coworking.fr/wp-content/uploads/2020/01/decouvrez-le-144-coworking.jpg,SARL/SAS/SA,NON,44,En activité,47.229071,-1.562215,144 Rue Paul Bellamy,144 Rue Paul Bellamy 44000 Nantes,Nantes,44000,undefined
La petite Serre,FTL,23 Rue Gambetta 44000 Nantes,06 60 35 85 02,http://lapetiteserre.com,Professionnels,T,,La petite Serre est née de la volonté de proposer  aux entrepreneurs  responsables d’antenne régionale  indépendants … un contexte de travail qui  de par les interlocuteurs présents et les rencontres proposées  permette très concrètement de faciliter le développement des entreprises et l’épanouissement des hommes qui les gèrent.,https://www.lapetiteserre.com/wp-content/uploads/2017/03/espace-commun-lapetiteserre-miniature.jpg,Association,NON,44,En activité,47.220417,-1.546169,23 Rue Gambetta,23 Rue Gambetta 44000 Nantes,Nantes,44000,undefined
Vacouva,FTL,43 Quai de Malakoff 44000 Nantes,02 40 74 96 77,https://www.vacouva.fr/,Professionnels,T,,Ancré au coeur de Nantes  dans le quartier dynamique EuroNantes/Gare Sud  Vacouva est un lieu inspirant de travail et de rencontres  un espace créatif pour booster l'esprit d’entreprise.,https://www.vacouva.fr/wp-content/uploads/2017/12/Unknown-740x494.jpg,SARL/SAS/SA,NON,44,En activité,47.214658,-1.541114,43 Quai Malakoff,43 Quai Malakoff 44000 Nantes,Nantes,44000,undefined
Work'in salorges,FTL,16 Quai Ernest Renaud 44100 Nantes,02 40 44 63 70,https://www.work-in-salorges.fr/des-espaces-dedies-pour-le-coworking,Professionnels,T,,Work'in salorges sait que les manières de travailler évoluent. L'entreprise n'est plus le lieu unique où les collaborateurs se retrouvent. Pour répondre à cette nouvelle demande  sont mises à disposition des Work Box ouvertes en accès libre  avec un accès Wi-fi illimité  pour permettre de travailler librement et en toute tranquilité !,https://www.work-in-salorges.fr/sites/default/files/styles/page_full_desktop/public/2019-11/Work_Box-vide_5_banniere_0.jpg?itok=ouHw9Lln,SARL/SAS/SA,NON,44,En activité,47.205689,-1.574332,16 Quai Ernest Renaud,16 Quai Ernest Renaud 44300 Nantes,Nantes,44300,undefined
Labo Arts & Techs / Stereolux,FTL,4 boulevard Léon Bureau 44000 Nantes,02 40 43 20 43,http://www.stereolux.org/labo-arts-techs/presentation,Citoyens – Professionnels,O-D,,Le Laboratoire Arts et Technologies de Stereolux est un espace dédié à l’expérimentation se situant à la jonction des arts numériques  de la recherche et de l'industrie. Il cherche à promouvoir et accompagner les transitions technologiques  d’usages ou culturelles. Il contribue ainsi activement aux multiples réflexions autour des technologies numériques et de leur devenir.,https://www.stereolux.org/sites/default/files/styles/galerie_photos_slider_miniature/public/ged/labo%20location8466916595_e54cbab939_o.jpg?itok=MBZpvlXn,Association,NON,44,En activité,47.206299,-1.564215,4 Boulevard Léon Bureau,4 Boulevard Léon Bureau 44200 Nantes,Nantes,44200,undefined
ADE Nantes,FTL,9 Rue du Petit Châtelier 44300 Nantes,09 51 33 36 13,https://www.ade-coworking.net,Professionnels,T,,L'Atelier Des Entreprises regroupe des sociétés d'horizons très différents  du monde de la startup au suivi de chantier.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/ADE-Nantes.jpg,SARL/SAS/SA,NON,44,En activité,47.246131,-1.505387,9 Rue du Petit Chatelier,9 Rue du Petit Chatelier 44300 Nantes,Nantes,44300,undefined
La Cantine numérique,PiNG-FTL-CAPTL,11 Rue la noue bras de fer 44200 Nantes,02 40 75 96 22,https://www.lacantine.co/,Professionnels,T,,Les espaces de coworking de La Cantine permettent d’avoir un pied à terre ponctuel au cœur de Nantes  de développer une idée en mode projet sur une période définie ou de poser ses valises sur une durée indéterminée.,,Association,NON,44,En activité,47.207157,-1.558662,11 Rue La Noue Bras de Fer,11 Rue La Noue Bras de Fer 44300 Nantes,Nantes,44300,undefined
L’Atelier 9,FTL,9 Rue des Olivettes 44000 Nantes,06 63 67 03 49,https://www.facebook.com/CoWorkAtelier9/,Professionnels,T,,L’Atelier 9 est un lieu de coworking en plein cœur de Nantes. Espace partagé de 200 m2  au fond d’une jolie cour arborée  où les occupants s’affairent… en toute convivialité.,https://invest.nantes-saintnazaire.fr/files/nantes-saint-nazaire-professional-premises-5f52090d-d6a3-4f5a-970a-3fc08353cc9e-1718311532-preview.jpg,Association,NON,44,En activité,47.212336,-1.550133,9 Rue des Olivettes,9 Rue des Olivettes 44000 Nantes,Nantes,44000,undefined
Le Solilab,CAPTL-FTL,8 rue Saint Domingue 44200 NANTES,02 40 89 33 69,https://www.lieuxcommuns.coop/,Professionnels – Citoyens,T-O-D-C,1-2-5-8-12-13,Espace d’expérimentations en permanente évolution  laboratoire d’innovations sociales et environnementales  tiers-lieu  point de rencontre entre ceux qui travaillent et consomment autrement… Le Solilab  c’est tout cela en même temps !  Ici on peut : travailler  se réunir  organiser un événement  déjeuner  consommer autrement au magasin de réemploi ou au marché paysan  se former  participer à des événements grand public  découvrir l'économie sociale et solidaire...  Ce tiers-lieu multifonctions  aujourd’hui reconnu à l’échelle nationale  a été imaginé par Les Ecossolies. Il est le résultat d’une mobilisation très forte des acteurs et actrices de l’économie sociale et solidaire (ESS) et de Nantes Métropole. En 2014  Les Ecossolies ont créée la coopérative Lieux Communs pour faire vivre le lieu et assurer sa gestion au quotidien.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/karollpetit-agecossolies2022-web-3.jpg,SCIC ou SCOP,NON,44,En activité,47.201392,-1.571388,8 Rue de Saint Domingue,8 Rue de Saint Domingue 44200 Nantes,Nantes,44200,undefined
Atelier Partagé du Breil,PiNG-CAPTL-FTL,38 rue du Breil 44100 Nantes,02 40 16 86 78,https://info.pingbase.net/lieux/,Professionnels – Citoyens,T-O-D,,Espace hybride entre fablab et jardin partagé  lieu de bricolage  de création  de réparation  l'Atelier Partagé permet aux habitants et habitantes du quartier d'accéder à un espace équipé pour réparer  apprendre à réparer  fabriquer des objets  regagner confiance en soi ou mieux comprendre les rouages de notre environnement technologique. L'Atelier Partagé permet aussi de redynamiser le tissu social local et de valoriser ses savoir-faire.,https://info.pingbase.net/wp-content/uploads/2018/06/IMG_1090.jpg,Association,OUI,44,En activité,47.229028,-1.584999,38 Rue du Breil,38 Rue du Breil 44100 Nantes,Nantes,44100,undefined
Le Grand Bain,CAPTL,23 Allée Baco 44000 Nantes,Non renseigné,https://lacooperative.coop/,Professionnels – Citoyens,T-O-D,,Situé dans les anciens bains et lavoirs de la Ville de Nantes  le Grand Bain est un tiers-lieu coopératif qui propose des bureaux  des salles de réunion  des événements et bientôt une boutique  un café  une épicerie et un espace bien-être. Ce projet porté par l’Ouvre-Boîtes 44 est un lieu de travail  de rencontres et de consommation locale où s'expriment la convivialité et l'entraide.,,SCIC ou SCOP,NON,44,En activité,47.214342,-1.548526,Allée Baco,Allée Baco 44000 Nantes,Nantes,44000,undefined
La Galerie zéro déchet,CAPTL,5 Rue Fénelon 44000 Nantes,Non renseigné,http://lagalerieduzerodechet.fr/,Professionnels – Citoyens,D-C,,Tiers-lieu sur la réduction des déchets en Pays de la Loire,http://lagalerieduzerodechet.fr/wp-content/uploads/2019/10/IMG_9377-1024x683.jpg,Association,NON,44,En activité,47.217125,-1.553941,5 Rue Fénelon,5 Rue Fénelon 44000 Nantes,Nantes,44000,undefined
Association Médiagraph,PiNG-CAPTL-FTL,1 rue d'Auvours  44000 Nantes,0240121912,https://www.assomediagraph.fr/autres-activites/co-working-et-location-de-salles/,Professionnels – Citoyens,T-O-D,,Médiagraph propose des initiations  des ateliers et des formations aux outils et usages numériques tous les publics  en collectifs ou en individuel. Exemples : prise en main de son ordinateur  de sa tablette pour un usage personnel  utilisation d'un site internet ou des réseaux sociaux pour un bénévole ou salarié. Utilisation des outils bureautique et internet dans sa recherche d'emploi. Possibilité de coworking en individuel ou en collectif.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/refs/heads/main/photos/mediagraph.jpg,Association,NON,44,En activité,47.221374,-1.563522,1 Rue d'Auvours,1 Rue d'Auvours 44000 Nantes,Nantes,44000,undefined
La Station,CAPTL,15 quai Ernest Renaud 44100 Nantes,Non renseigné,https://atelierdesinitiatives.org/un-appui/les-ressources/,Professionnels – Citoyens,T-D,,La Station découle d’une envie commune de créer en 2011 un Pôle Associatif Jeunesses à Nantes fondé sur la mutualisation d’un local d’activités entre différents acteurs ayant des missions complémentaires : l'Afev  l'Atelier des Initiatives  le Vlipp et à l'époque l'association Europa. La Station est un espace de travail et de coopérations ouvert au public. Elle accueille différentes activités et animations qui favorisent l’initiative  la citoyenneté et la créativité.,,Association,NON,44,En activité,47.206443,-1.573541,15 Quai Ernest Renaud,15 Quai Ernest Renaud 44300 Nantes,Nantes,44300,undefined
Forum Titi,CAPTL,7 Rue Louis Blériot 44700 Orvault,02 40 76 38 44,https://www.forum-titi.fr/,Professionnels – Citoyens,T-D,,Le Forum Titi est un tiers-lieu de l'ESS qui a vocation a accueillir des structures accompagnant les publics personnes âgées et personnes en situation de handicap. C'est également le siège social du groupe coopératif les Titis.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/Forum_Titi_Floris.jpg,SCIC ou SCOP,NON,44,En activité,47.253081,-1.617958,7 Rue Louis Blériot,7 Rue Louis Blériot 44700 Orvault,Orvault,44700,undefined
Centre Socio-culturel de l’Allée Verte,PiNG,1 rue de l’allée verte 44230 Saint-Sébastien-sur-Loire,02 40 33 16 88,https://alleeverte.centres-sociaux.fr,Citoyens,O-D,,Depuis 3 ans  l’association socioculturelle de l’Allée Verte propose un Atelier de réparation tous les premiers samedis du mois pour réparer différents objets (ex : télé  fer à repasser  lampe  aspirateur  fauteuil  tondeuse  ordinateur textiles …). Le centre social propose aussi de nombreuses autres activités  comme un atelier numérique et un studio d’enregistrement pour des projets créatifs sonores.,,Association,NON,44,En activité,47.195577,-1.488766,Rue de l'Allée Verte,Rue de l'Allée Verte 44230 Saint-Sébastien-sur-Loire,Saint-Sébastien-sur-Loire,44230,undefined
Workhub,FTL,1 avenue des Lions 44800 Saint-Herblain,Non renseigné,https://www.neo-nomade.com/espace/3863/coworking-saint-herblain-workhub,Professionnels,T,,Le Workhub de Ouest bureau regroupe bureaux  salles de réunion et Workcafé dans un nouvel espace collaboratif situé à St Herblain  à proximité des transports en commun et des accès périphériques.,https://www.neo-nomade.com/fichier/compressedImages/espace/3863/8.jpg=2000x961xcrop,SARL/SAS/SA,NON,44,En activité,47.246325,-1.617535,1 Avenue des Lions,1 Avenue des Lions 44800 Saint-Herblain,Saint-Herblain,44800,undefined
La Ruche Saint-Nazaire,FTL-CAPTL,25 Rue de l'étoile du matin 44600 Saint-Nazaire,06 58 96 96 84,http://la-ruche.net/ruche/saint-nazaire/,Professionnels – Citoyens,T-D,,La Ruche est un espace de coworking collaboratif où les acteurs du changement se rencontrent et partagent compétences et ressources. Il s’agit d’offrir un lieu propice au développement professionnel et à l’épanouissement personnel à toute personne qui porte une initiative à impact positif pour la société. La Ruche Saint-Nazaire est membre du premier réseau national d'incubateur à impact. L'espace collaboratif a ouvert ses portes en septembre 2017.,https://la-ruche.net/wp-content/uploads/2017/09/Laruchecoworking_CWSud-587x440.jpg,Autre,NON,44,En activité,47.259498,-2.271752,25 Rue de l'Etoile du Matin,25 Rue de l'Etoile du Matin 44600 Saint-Nazaire,Saint-Nazaire,44600,undefined
Office Coffee,FTL,21 Avenue du Commandant l'Herminier 44600 Saint-Nazaire,02 53 30 80 75,http://www.officecoffee.fr,Professionnels,T,,L’Office Coffee est un espace de travail partagé et connecté  favorisant l’échange et le travail en réseau. Un lieu fonctionnel  modulable  convivial et dynamisant  idéal pour tous les Entrepreneurs  Entreprises  Freelances  Associations  Clubs et propice aux opportunités et aux rencontres professionnelles.,https://www.officecoffee.fr/wp-content/uploads/2018/06/20180613_150557-e1543247741587.jpg,SARL/SAS/SA,NON,44,En activité,47.285562,-2.213904,21 Avenue du Commandant L'Herminier,21 Avenue du Commandant L'Herminier 44600 Saint-Nazaire,Saint-Nazaire,44600,undefined
